02539,София,Ихтиман,с. Бальовци
02542,Монтана,Берковица,с. Балювица
02556,Габрово,Дряново,с. Банари
02563,Габрово,Трявна,с. Бангейци
02587,Русе,Две могили,с. Баниска
02590,Враца,Враца,с. Баница
02600,Благоевград,Гоце Делчев,с. Баничан
02614,Перник,Брезник,с. Банище
02628,Търговище,Антоново,с. Банковец
02631,Габрово,Габрово,с. Банковци
02645,Перник,Трън,с. Банкя
02659,София (столица),Столична,гр. Банкя
02662,Варна,Суворово,с. Баново
02676,Благоевград,Банско,гр. Банско
02689,София,Ихтиман,с. Банчовци
02693,Благоевград,Разлог,с. Баня
02703,Бургас,Несебър,с. Баня
02717,Пазарджик,Панагюрище,с. Баня
02720,Пловдив,Карлово,гр. Баня
02734,Сливен,Нова Загора,с. Баня
02748,Кюстендил,Кочериново,с. Бараково
02751,Кърджали,Крумовград,с. Бараци
02765,Бургас,Карнобат,с. Детелина
02779,Смолян,Доспат,с. Барутин
02782,Смолян,Смолян,с. Горна Арда
02796,Русе,Русе,с. Басарбово
02806,Благоевград,Петрич,с. Баскалци
02810,Бургас,Поморие,с. Бата
02823,Велико Търново,Павликени,с. Батак
02837,Пазарджик,Батак,гр. Батак
02854,Русе,Борово,с. Батин
02868,Русе,Две могили,с. Батишница
02871,Добрич,Добрич-селска,с. Батово
02885,Габрово,Севлиево,с. Батошево
02899,София,Своге,с. Батулия
02909,Ловеч,Ябланица,с. Батулци
02912,Враца,Криводол,с. Баурене
02926,София,Сливница,с. Бахалин
02935,Ловеч,Ловеч,с. Баховица
02943,Габрово,Трявна,с. Бахреци
02957,Плевен,Никопол,с. Бацова махала
02960,Благоевград,Разлог,с. Бачево
02974,Пловдив,Асеновград,с. Бачково
02988,Смолян,Смолян,с. Букаците
02991,Кърджали,Ардино,с. Башево
03006,Кърджали,Кърджали,с. Бащино
03017,Силистра,Главиница,с. Бащино
03023,Стара Загора,Опан,с. Бащино
03037,Търговище,Търговище,с. Баячево
03040,Добрич,Добрич-селска,с. Бдинци
03054,Велико Търново,Елена,с. Беброво
03068,Плевен,Плевен,с. Беглеж
03085,Пловдив,Калояново,с. Бегово
03099,Перник,Брезник,с. Бегуновци
03109,Пловдив,Карлово,с. Бегунци
03112,Смолян,Девин,с. Беден
03126,Шумен,Нови пазар,с. Беджене
03143,Ловеч,Луковит,с. Бежаново
03157,Добрич,Генерал Тошево,с. Бежаново
03174,Добрич,Балчик,с. Безводица
03188,Кърджали,Черноочене,с. Безводно
03191,София,Костинброд,с. Безден
03201,Монтана,Монтана,с. Безденица
03215,Добрич,Тервел,с. Безмер
03229,Ямбол,Тунджа,с. Безмер
03232,Велико Търново,Елена,с. Бейковци
03246,Габрово,Габрово,с. Бекриите
03258,Кърджали,Момчилград,с. Каменец
03263,Видин,Димово,с. Бела
03277,Перник,Радомир,с. Беланица
03280,Видин,Видин,с. Бела Рада
03294,Благоевград,Петрич,с. Беласица
03304,Пловдив,Родопи,с. Белащица
03318,Добрич,Каварна,с. Белгун
03321,Смолян,Смолян,с. Белев дол
03335,Благоевград,Сандански,с. Белевехчево
03349,Бургас,Средец,с. Белеврен
03366,Плевен,Белене,гр. Белене
03373,Ловеч,Луковит,с. Беленци
03383,Монтана,Бойчиновци,с. Бели брег
03397,Монтана,Бойчиновци,с. Бели брод
03407,Стара Загора,Раднево,с. Бели бряг
03410,Кърджали,Черноочене,с. Бели вир
03424,Хасково,Ивайловград,с. Бели дол
03438,Враца,Враца,с. Бели извор
03441,София,Самоков,с. Бели Искър
03455,Бургас,Средец,с. Белила
03469,Монтана,Чипровци,с. Белимел
03472,Разград,Исперих,с. Белинци
03486,Ловеч,Троян,с. Бели Осъм
03499,Кърджали,Кърджали,с. Бели пласт
03504,Благоевград,Белица,гр. Белица
03513,Габрово,Трявна,с. Белица
03527,Силистра,Тутракан,с. Белица
03530,Пловдив,Лъки,с. Белица
03544,Хасково,Любимец,с. Белица
03558,Ловеч,Троян,с. Белиш
03561,Благоевград,Якоруда,с. Бел камен
03575,Разград,Кубрат,с. Беловец
03589,Пловдив,Хисаря,с. Беловица
03592,Пазарджик,Белово,гр. Белово
03602,Варна,Ветрино,с. Белоградец
03616,Видин,Белоградчик,гр. Белоградчик
03620,Пловдив,Раковски,с. Белозем
03633,Шумен,Шумен,с. Белокопитово
03647,Търговище,Омуртаг,с. Беломорци
03650,Габрово,Габрово,с. Беломъжите
03664,Благоевград,Благоевград,с. Бело поле
03678,Видин,Ружинци,с. Бело поле
03681,Хасково,Ивайловград,с. Белополци
03695,Хасково,Ивайловград,с. Белополяне
03705,София,Горна Малина,с. Белопопци
03719,Варна,Белослав,гр. Белослав
03722,Монтана,Монтана,с. Белотинци
03736,Монтана,Монтана,с. Долно Белотинци
03745,Русе,Ценово,с. Белцов
03753,Велико Търново,Велико Търново,с. Белчевци
03767,София,Самоков,с. Белчин
03770,София,Самоков,с. Белчински бани
03784,Благоевград,Сандански,с. Бельово
03798,Велико Търново,Велико Търново,с. Беляковец
03808,Русе,Ценово,с. Беляново
03811,Варна,Аврен,с. Бенковски
03825,Кърджали,Кирково,с. Бенковски
03839,Пловдив,Марица,с. Бенковски
03842,София,Мирково,с. Бенковски
03856,Стара Загора,Стара Загора,с. Бенковски
03860,Добрич,Добрич-селска,с. Бенковски
03873,Перник,Трън,с. Берайнци
03887,Перник,Земен,с. Беренде
03890,София,Драгоман,с. Беренде
03900,София,Драгоман,с. Беренде извор
03914,Габрово,Севлиево,с. Бериево
03928,Монтана,Берковица,гр. Берковица
03931,Търговище,Попово,с. Берковски
03945,Велико Търново,Елена,с. Берковци
03959,Бургас,Сунгурларе,с. Бероново
03962,Кюстендил,Кюстендил,с. Берсин
03976,Благоевград,Хаджидимово,с. Беслен
03986,Кърджали,Черноочене,с. Беснурка
03993,Плевен,Долна Митрополия,с. Биволаре
04008,Кърджали,Момчилград,с. Биволяне
04011,Велико Търново,Велико Търново,с. Бижовци
04025,Габрово,Трявна,с. Бижовци
04039,Сливен,Сливен,с. Биково
04042,Перник,Брезник,с. Билинци
04056,Бургас,Руен,с. Билка
04068,Габрово,Дряново,с. Билкини
04090,Добрич,Каварна,с. Било
04100,Смолян,Смолян,с. Билянска
04114,Сливен,Сливен,с. Бинкос
04128,Хасково,Харманли,с. Бисер
04131,Разград,Кубрат,с. Бисерци
04145,Силистра,Алфатар,с. Бистра
04159,Търговище,Търговище,с. Бистра
04162,Русе,Бяла,с. Бистренци
04176,Бургас,Средец,с. Бистрец
04193,Добрич,Крушари,с. Бистрец
04203,Монтана,Берковица,с. Бистрилица
04217,Благоевград,Благоевград,с. Бистрица
04220,Кюстендил,Дупница,с. Бистрица
04234,София (столица),Столична,с. Бистрица
04248,Кърджали,Ардино,с. Бистроглед
04251,Монтана,Монтана,с. Благово
